




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Stone Church                  1150                          642                           55.83%
University                    704                           334                           47.44%
Morrison                      1329                          592                           44.54%
Abel                          938                           370                           39.45%
Calhoun                       1161                          432                           37.21%
Clemson                       1766                          989                           56.00%
Issaqueena                    783                           423                           54.02%
West Central                  983                           298                           30.32%
North Central                 1014                          532                           52.47%
Pike                          963                           513                           53.27%
Lawrence Chapel               1190                          666                           55.97%
Norris                        1102                          582                           52.81%
Six Mile                      1346                          738                           54.83%
Six Mile Mountain             1411                          748                           53.01%
Praters Creek                 847                           444                           52.42%
Mountain View                 1505                          666                           44.25%
Albert R. Lewis               1207                          646                           53.52%
Holly Springs                 1459                          768                           52.64%
Pumpkintown                   1402                          809                           57.70%
Griffin                       1382                          779                           56.37%
North Pickens                 1258                          610                           48.49%
West Pickens                  1279                          619                           48.40%
South Pickens                 1097                          485                           44.21%
East Pickens                  1174                          616                           52.47%
Glassy Mountain               1173                          559                           47.66%
Cedar Rock                    1196                          616                           51.51%
Skelton                       1084                          571                           52.68%
Rices Creek                   1181                          592                           50.13%
West Liberty                  1192                          628                           52.68%
East Liberty                  1081                          526                           48.66%
Flat Rock                     1202                          628                           52.25%
Zion                          1133                          528                           46.60%
Smith Grove                   889                           371                           41.73%
Arial Mill                    996                           452                           45.38%
Simpson                       1100                          386                           35.09%
Woodside                      1443                          673                           46.64%
Brushy Creek                  1572                          814                           51.78%
Pickensville                  1028                          502                           48.83%
Easley                        1178                          519                           44.06%
Forest Acres                  991                           542                           54.69%
Crestview                     1165                          656                           56.31%
Sitton                        1344                          752                           55.95%
Rock Springs                  1286                          643                           50.00%
Saluda                        1112                          539                           48.47%
Crosswell                     1386                          679                           48.99%
Georges Creek                 1025                          572                           55.80%
McKissick                     1223                          579                           47.34%
Vinland                       1013                          497                           49.06%
Crossroads                    1220                          507                           41.56%
Dacusville                    1034                          384                           37.14%
Nine Forks                    1174                          566                           48.21%
South Central                 1104                          451                           40.85%
Crescent Hill                 1244                          585                           47.03%
North Liberty                 1083                          480                           44.32%
Pendleton                     986                           462                           46.86%
Fruit Mountain                868                           348                           40.09%
Pope Field                    939                           421                           44.83%
Sheffield                     1340                          738                           55.07%
Tri County                    550                           326                           59.27%
McAllister                    1138                          517                           45.43%
Lenhart                       1019                          446                           43.77%
Absentee                      0                             3786                          0.00%
Emergency                     0                             708                           0.00%
Failsafe                      0                             60                            0.00%
Provisional                   0                             68                            0.00%
Failsafe Provisional          0                             36                            0.00%
Total:                        70142                         39014                         55.62%

                                                                                                                                                                                                     STRAIGHT PARTY (Vote For 1)
                                                            Democratic                                                  Working Families                                            United Citizens                                             Green                                                       Republican                                                  American                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Glassy Mountain               1173                          48                            48                            5                             5                             488                           488                           11                            11                            1                             1                             553                           
Cedar Rock                    1196                          80                            80                            4                             4                             521                           521                           5                             5                             0                             0                             610                           
Skelton                       1084                          54                            54                            3                             3                             494                           494                           15                            15                            0                             0                             566                           
Rices Creek                   1181                          83                            83                            5                             5                             484                           484                           12                            12                            0                             0                             584                           
West Liberty                  1192                          90                            90                            14                            14                            507                           507                           10                            10                            1                             1                             622                           
East Liberty                  1081                          81                            81                            6                             6                             426                           426                           9                             9                             1                             1                             523                           
Flat Rock                     1202                          80                            80                            18                            18                            513                           513                           11                            11                            0                             0                             622                           
Zion                          1133                          79                            79                            7                             7                             434                           434                           5                             5                             0                             0                             525                           
Smith Grove                   889                           69                            69                            5                             5                             289                           289                           5                             5                             0                             0                             368                           
Arial Mill                    996                           72                            72                            6                             6                             362                           362                           8                             8                             0                             0                             448                           
Simpson                       1100                          202                           202                           9                             9                             167                           167                           5                             5                             1                             1                             384                           
Woodside                      1443                          195                           195                           13                            13                            445                           445                           15                            15                            0                             0                             668                           
Brushy Creek                  1572                          190                           190                           10                            10                            590                           590                           16                            16                            0                             0                             806                           
Pickensville                  1028                          104                           104                           4                             4                             384                           384                           6                             6                             0                             0                             498                           
Easley                        1178                          120                           120                           8                             8                             372                           372                           16                            16                            0                             0                             516                           
Forest Acres                  991                           128                           128                           10                            10                            392                           392                           7                             7                             0                             0                             537                           
Crestview                     1165                          98                            98                            6                             6                             543                           543                           4                             4                             0                             0                             651                           
Sitton                        1344                          140                           140                           6                             6                             590                           590                           6                             6                             1                             1                             743                           
Rock Springs                  1286                          127                           127                           6                             6                             496                           496                           8                             8                             0                             0                             637                           
Saluda                        1112                          115                           115                           11                            11                            397                           397                           12                            12                            0                             0                             535                           
Crosswell                     1386                          96                            96                            10                            10                            552                           552                           10                            10                            1                             1                             669                           
Georges Creek                 1025                          120                           120                           7                             7                             429                           429                           12                            12                            1                             1                             569                           
McKissick                     1223                          135                           135                           12                            12                            419                           419                           8                             8                             0                             0                             574                           
Vinland                       1013                          60                            60                            6                             6                             424                           424                           5                             5                             0                             0                             495                           
Crossroads                    1220                          64                            64                            9                             9                             420                           420                           5                             5                             0                             0                             498                           
Dacusville                    1034                          40                            40                            5                             5                             327                           327                           6                             6                             0                             0                             378                           
Nine Forks                    1174                          58                            58                            5                             5                             485                           485                           10                            10                            0                             0                             558                           
South Central                 1104                          190                           190                           17                            17                            226                           226                           11                            11                            0                             0                             444                           
Crescent Hill                 1244                          56                            56                            6                             6                             504                           504                           10                            10                            0                             0                             576                           
North Liberty                 1083                          71                            71                            9                             9                             386                           386                           9                             9                             0                             0                             475                           
Pendleton                     986                           52                            52                            8                             8                             392                           392                           6                             6                             0                             0                             458                           
Fruit Mountain                868                           66                            66                            2                             2                             273                           273                           4                             4                             0                             0                             345                           
Pope Field                    939                           100                           100                           7                             7                             302                           302                           9                             9                             0                             0                             418                           
Sheffield                     1340                          108                           108                           10                            10                            605                           605                           5                             5                             0                             0                             728                           
Tri County                    550                           83                            83                            3                             3                             230                           230                           7                             7                             0                             0                             323                           
McAllister                    1138                          98                            98                            12                            12                            394                           394                           6                             6                             0                             0                             510                           
Lenhart                       1019                          92                            92                            15                            15                            324                           324                           6                             6                             0                             0                             437                           
Absentee                      0                             1073                          1073                          37                            37                            2587                          2587                          51                            51                            1                             1                             3749                          
Emergency                     0                             112                           112                           9                             9                             574                           574                           9                             9                             0                             0                             704                           
Failsafe                      0                             12                            12                            4                             4                             41                            41                            2                             2                             0                             0                             59                            
Provisional                   0                             16                            16                            3                             3                             46                            46                            2                             2                             0                             0                             67                            
Failsafe Provisional          0                             9                             9                             2                             2                             23                            23                            1                             1                             0                             0                             35                            
Totals:                       70142                         8265                          8265                          579                           579                           29067                         29067                         659                           659                           12                            12                            38582                         

                                                                                                                                         Attorney General (Vote For 1)
                                                            Constance Anastopoulo                                       Constance Anastopoulo                                       Alan Wilson                                                 Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Stone Church                  1150                          324                           324                           16                            16                            286                           286                           2                             2                             628                           
University                    704                           140                           140                           10                            10                            176                           176                           0                             0                             326                           
Morrison                      1329                          276                           276                           12                            12                            295                           295                           0                             0                             583                           
Abel                          938                           221                           221                           12                            12                            127                           127                           0                             0                             360                           
Calhoun                       1161                          224                           224                           21                            21                            178                           178                           0                             0                             423                           
Clemson                       1766                          401                           401                           25                            25                            538                           538                           0                             0                             964                           
Issaqueena                    783                           210                           210                           13                            13                            194                           194                           0                             0                             417                           
West Central                  983                           135                           135                           7                             7                             151                           151                           0                             0                             293                           
North Central                 1014                          132                           132                           19                            19                            369                           369                           0                             0                             520                           
Pike                          963                           202                           202                           8                             8                             295                           295                           3                             3                             508                           
Lawrence Chapel               1190                          178                           178                           9                             9                             473                           473                           1                             1                             661                           
Norris                        1102                          90                            90                            7                             7                             480                           480                           1                             1                             578                           
Six Mile                      1346                          86                            86                            7                             7                             640                           640                           0                             0                             733                           
Six Mile Mountain             1411                          120                           120                           18                            18                            595                           595                           0                             0                             733                           
Praters Creek                 847                           36                            36                            7                             7                             388                           388                           1                             1                             432                           
Mountain View                 1505                          120                           120                           7                             7                             537                           537                           0                             0                             664                           
Albert R. Lewis               1207                          68                            68                            5                             5                             564                           564                           0                             0                             637                           
Holly Springs                 1459                          142                           142                           15                            15                            609                           609                           0                             0                             766                           
Pumpkintown                   1402                          163                           163                           8                             8                             632                           632                           1                             1                             804                           
Griffin                       1382                          106                           106                           14                            14                            653                           653                           0                             0                             773                           
North Pickens                 1258                          80                            80                            7                             7                             519                           519                           0                             0                             606                           
West Pickens                  1279                          98                            98                            7                             7                             500                           500                           3                             3                             608                           
South Pickens                 1097                          129                           129                           4                             4                             347                           347                           0                             0                             480                           
East Pickens                  1174                          56                            56                            10                            10                            547                           547                           0                             0                             613                           
Glassy Mountain               1173                          52                            52                            5                             5                             493                           493                           1                             1                             551                           
Cedar Rock                    1196                          79                            79                            10                            10                            523                           523                           0                             0                             612                           
Skelton                       1084                          59                            59                            5                             5                             501                           501                           0                             0                             565                           
Rices Creek                   1181                          92                            92                            11                            11                            481                           481                           0                             0                             584                           
West Liberty                  1192                          94                            94                            14                            14                            514                           514                           0                             0                             622                           
East Liberty                  1081                          80                            80                            8                             8                             435                           435                           0                             0                             523                           
Flat Rock                     1202                          89                            89                            15                            15                            520                           520                           0                             0                             624                           
Zion                          1133                          84                            84                            12                            12                            426                           426                           1                             1                             523                           
Smith Grove                   889                           73                            73                            6                             6                             288                           288                           0                             0                             367                           
Arial Mill                    996                           75                            75                            5                             5                             369                           369                           0                             0                             449                           
Simpson                       1100                          204                           204                           8                             8                             165                           165                           0                             0                             377                           
Woodside                      1443                          195                           195                           14                            14                            460                           460                           1                             1                             670                           
Brushy Creek                  1572                          198                           198                           14                            14                            594                           594                           0                             0                             806                           
Pickensville                  1028                          114                           114                           8                             8                             375                           375                           0                             0                             497                           
Easley                        1178                          129                           129                           12                            12                            370                           370                           1                             1                             512                           
Forest Acres                  991                           131                           131                           11                            11                            395                           395                           0                             0                             537                           
Crestview                     1165                          110                           110                           4                             4                             532                           532                           1                             1                             647                           
Sitton                        1344                          140                           140                           11                            11                            589                           589                           1                             1                             741                           
Rock Springs                  1286                          129                           129                           11                            11                            500                           500                           0                             0                             640                           
Saluda                        1112                          125                           125                           9                             9                             400                           400                           0                             0                             534                           
Crosswell                     1386                          103                           103                           12                            12                            555                           555                           0                             0                             670                           
Georges Creek                 1025                          129                           129                           7                             7                             435                           435                           0                             0                             571                           
McKissick                     1223                          141                           141                           15                            15                            421                           421                           0                             0                             577                           
Vinland                       1013                          66                            66                            6                             6                             423                           423                           0                             0                             495                           
Crossroads                    1220                          69                            69                            9                             9                             423                           423                           0                             0                             501                           
Dacusville                    1034                          47                            47                            9                             9                             322                           322                           0                             0                             378                           
Nine Forks                    1174                          59                            59                            7                             7                             491                           491                           0                             0                             557                           
South Central                 1104                          192                           192                           16                            16                            232                           232                           0                             0                             440                           
Crescent Hill                 1244                          64                            64                            4                             4                             511                           511                           0                             0                             579                           
North Liberty                 1083                          78                            78                            6                             6                             393                           393                           0                             0                             477                           
Pendleton                     986                           60                            60                            8                             8                             390                           390                           0                             0                             458                           
Fruit Mountain                868                           67                            67                            2                             2                             274                           274                           0                             0                             343                           
Pope Field                    939                           118                           118                           10                            10                            290                           290                           0                             0                             418                           
Sheffield                     1340                          127                           127                           10                            10                            591                           591                           2                             2                             730                           
Tri County                    550                           84                            84                            4                             4                             230                           230                           0                             0                             318                           
McAllister                    1138                          103                           103                           14                            14                            395                           395                           0                             0                             512                           
Lenhart                       1019                          100                           100                           14                            14                            328                           328                           0                             0                             442                           
Absentee                      0                             1139                          1139                          72                            72                            2540                          2540                          2                             2                             3753                          
Emergency                     0                             118                           118                           9                             9                             578                           578                           0                             0                             705                           
Failsafe                      0                             15                            15                            2                             2                             42                            42                            0                             0                             59                            
Provisional                   0                             17                            17                            1                             1                             49                            49                            0                             0                             67                            
Failsafe Provisional          0                             10                            10                            2                             2                             22                            22                            0                             0                             34                            
Totals:                       70142                         8895                          8895                          700                           700                           28958                         28958                         22                            22                            38575                         

                                                                             Comptroller General (Vote For 1)
                                                            Richard Eckstrom                                            Write-In                                                    
County                        Registered Voters             Election Day                  Choice Total                  Election Day                  Choice Total                  Total                         
Stone Church                  1150                          408                           408                           24                            24                            432                           
University                    704                           223                           223                           11                            11                            234                           
Morrison                      1329                          386                           386                           17                            17                            403                           
Abel                          938                           189                           189                           14                            14                            203                           
Calhoun                       1161                          281                           281                           15                            15                            296                           
Clemson                       1766                          690                           690                           21                            21                            711                           
Issaqueena                    783                           272                           272                           12                            12                            284                           
West Central                  983                           203                           203                           7                             7                             210                           
North Central                 1014                          421                           421                           5                             5                             426                           
Pike                          963                           357                           357                           12                            12                            369                           
Lawrence Chapel               1190                          550                           550                           8                             8                             558                           
Norris                        1102                          509                           509                           5                             5                             514                           
Six Mile                      1346                          665                           665                           4                             4                             669                           
Six Mile Mountain             1411                          659                           659                           10                            10                            669                           
Praters Creek                 847                           406                           406                           2                             2                             408                           
Mountain View                 1505                          579                           579                           4                             4                             583                           
Albert R. Lewis               1207                          595                           595                           1                             1                             596                           
Holly Springs                 1459                          675                           675                           2                             2                             677                           
Pumpkintown                   1402                          672                           672                           11                            11                            683                           
Griffin                       1382                          703                           703                           2                             2                             705                           
North Pickens                 1258                          547                           547                           2                             2                             549                           
West Pickens                  1279                          536                           536                           8                             8                             544                           
South Pickens                 1097                          389                           389                           0                             0                             389                           
