




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
ANTIOCH                       1851                          1274                          68.83%
AUBURN                        729                           481                           65.98%
BETHEL                        756                           520                           68.78%
BLACK CREEK-CLYDE             1271                          885                           69.63%
BURNT BRANCH                  772                           561                           72.67%
Darlington No. 1              407                           231                           56.76%
Darlington No. 2              1679                          1045                          62.24%
Darlington No. 4              1623                          1056                          65.06%
Darlington No. 5              1949                          1215                          62.34%
DOVESVILLE                    1630                          1139                          69.88%
Hartsville No. 1              1346                          981                           72.88%
Hartsville No. 4              1051                          590                           56.14%
Hartsville No. 5              2554                          1746                          68.36%
Hartsville No. 6              1755                          1032                          58.80%
Hartsville No. 7              1197                          684                           57.14%
Hartsville No. 8              2831                          2069                          73.08%
HIGH HILL                     2844                          1870                          65.75%
INDIAN BRANCH                 661                           473                           71.56%
KELLEYTOWN                    1972                          1476                          74.85%
LAKE SWAMP                    1405                          994                           70.75%
Lamar No. 1                   892                           625                           70.07%
Lamar No. 2                   1625                          1149                          70.71%
LYDIA                         750                           500                           66.67%
MECHANICSVILLE                1858                          1268                          68.25%
NEW MARKET                    1097                          776                           70.74%
OATES                         1023                          759                           74.19%
PALMETTO                      2051                          1440                          70.21%
SOCIETY HILL                  816                           552                           67.65%
SWIFT CREEK                   994                           677                           68.11%
Darlington No. 3              2975                          2155                          72.44%
Darlington No. 6              1811                          1192                          65.82%
Hartsville No. 9              1859                          1228                          66.06%
Failsafe                      0                             0                             0.00%
Provisional                   0                             39                            0.00%
Failsafe Provisional          0                             7                             0.00%
Total:                        48034                         32689                         68.05%

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       STRAIGHT PARTY 1 (Vote For 1)
                                                            Constitution                                                                                                                                                                                                      Green                                                                                                                                                                                                             Republican                                                                                                                                                                                                        Alliance                                                                                                                                                                                                          Libertarian                                                                                                                                                                                                       Democratic                                                                                                                                                                                                        
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
Hartsville No. 9              1859                          4                             1                             0                             0                             0                             0                             5                             369                           272                           46                            0                             0                             0                             687                           0                             0                             0                             0                             0                             0                             0                             5                             5                             1                             0                             0                             0                             11                            178                           251                           85                            0                             0                             0                             514                           1217                          
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             19                            0                             19                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             19                            0                             19                            39                            
Failsafe Provisional          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             5                             5                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             2                             2                             7                             
Totals:                       48034                         41                            31                            5                             0                             0                             0                             77                            8807                          6827                          1174                          0                             19                            5                             16832                         17                            5                             6                             0                             0                             0                             28                            146                           85                            28                            0                             1                             0                             260                           4673                          8049                          2477                          0                             19                            2                             15220                         32417                         

                                                                                                                                                                                                                                                                                                                                                                                                                                                     U.S.  Senate  (Vote For 1)
                                                            CON Bill Bledsoe                                                                                                                                                                                                  REP Lindsey Graham                                                                                                                                                                                                DEM Jaime Harrison                                                                                                                                                                                                Write-In                                                                                                                                                                                                          
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
ANTIOCH                       1851                          10                            6                             2                             0                             0                             0                             18                            466                           221                           45                            0                             0                             0                             732                           181                           261                           71                            0                             0                             0                             513                           0                             2                             0                             0                             0                             0                             2                             1265                          
AUBURN                        729                           2                             1                             1                             0                             0                             0                             4                             65                            18                            7                             0                             0                             0                             90                            158                           194                           30                            0                             0                             0                             382                           1                             0                             0                             0                             0                             0                             1                             477                           
BETHEL                        756                           8                             0                             0                             0                             0                             0                             8                             156                           98                            19                            0                             0                             0                             273                           75                            129                           28                            0                             0                             0                             232                           0                             1                             0                             0                             0                             0                             1                             514                           
BLACK CREEK-CLYDE             1271                          17                            0                             1                             0                             0                             0                             18                            443                           165                           23                            0                             0                             0                             631                           79                            112                           35                            0                             0                             0                             226                           1                             0                             0                             0                             0                             0                             1                             876                           
BURNT BRANCH                  772                           8                             4                             0                             0                             0                             0                             12                            195                           146                           20                            0                             0                             0                             361                           55                            109                           20                            0                             0                             0                             184                           0                             0                             0                             0                             0                             0                             0                             557                           
Darlington No. 1              407                           1                             2                             0                             0                             0                             0                             3                             38                            57                            4                             0                             0                             0                             99                            38                            65                            24                            0                             0                             0                             127                           0                             1                             0                             0                             0                             0                             1                             230                           
Darlington No. 2              1679                          6                             1                             1                             0                             0                             0                             8                             149                           143                           29                            0                             0                             0                             321                           195                           386                           122                           0                             0                             0                             703                           0                             0                             0                             0                             0                             0                             0                             1032                          
Darlington No. 4              1623                          2                             1                             0                             0                             0                             0                             3                             106                           236                           27                            0                             0                             0                             369                           159                           360                           156                           0                             0                             0                             675                           0                             0                             0                             0                             0                             0                             0                             1047                          
Darlington No. 5              1949                          2                             4                             0                             0                             0                             0                             6                             31                            60                            38                            0                             0                             0                             129                           280                           577                           209                           0                             0                             0                             1066                          0                             0                             0                             0                             0                             0                             0                             1201                          
DOVESVILLE                    1630                          4                             2                             2                             0                             0                             0                             8                             226                           167                           19                            0                             0                             0                             412                           271                           369                           67                            0                             0                             0                             707                           0                             0                             0                             0                             0                             0                             0                             1127                          
Hartsville No. 1              1346                          4                             7                             0                             0                             0                             0                             11                            300                           280                           64                            0                             0                             0                             644                           68                            171                           81                            0                             0                             0                             320                           0                             0                             1                             0                             0                             0                             1                             976                           
Hartsville No. 4              1051                          4                             1                             0                             0                             0                             0                             5                             89                            62                            15                            0                             0                             0                             166                           133                           237                           43                            0                             0                             0                             413                           0                             0                             0                             0                             0                             0                             0                             584                           
Hartsville No. 5              2554                          13                            12                            0                             0                             0                             0                             25                            393                           440                           134                           0                             0                             0                             967                           172                           423                           149                           0                             0                             0                             744                           0                             0                             0                             0                             0                             0                             0                             1736                          
Hartsville No. 6              1755                          1                             0                             0                             0                             0                             0                             1                             7                             9                             6                             0                             0                             0                             22                            172                           626                           201                           0                             0                             0                             999                           0                             2                             0                             0                             0                             0                             2                             1024                          
Hartsville No. 7              1197                          6                             5                             1                             0                             0                             0                             12                            181                           132                           28                            0                             0                             0                             341                           95                            195                           40                            0                             0                             0                             330                           0                             0                             0                             0                             0                             0                             0                             683                           
Hartsville No. 8              2831                          24                            7                             2                             0                             0                             0                             33                            773                           656                           115                           0                             0                             0                             1544                          126                           265                           86                            0                             0                             0                             477                           4                             0                             2                             0                             0                             0                             6                             2060                          
HIGH HILL                     2844                          10                            4                             1                             0                             0                             0                             15                            437                           408                           48                            0                             0                             0                             893                           330                           496                           117                           0                             0                             0                             943                           1                             2                             0                             0                             0                             0                             3                             1854                          
INDIAN BRANCH                 661                           11                            4                             0                             0                             0                             0                             15                            197                           92                            17                            0                             0                             0                             306                           55                            80                            13                            0                             0                             0                             148                           0                             0                             0                             0                             0                             0                             0                             469                           
KELLEYTOWN                    1972                          10                            7                             2                             0                             0                             0                             19                            524                           481                           120                           0                             0                             0                             1125                          78                            175                           71                            0                             0                             0                             324                           1                             0                             0                             0                             0                             0                             1                             1469                          
LAKE SWAMP                    1405                          14                            2                             0                             0                             0                             0                             16                            315                           191                           26                            0                             0                             0                             532                           151                           232                           60                            0                             0                             0                             443                           0                             0                             0                             0                             0                             0                             0                             991                           
Lamar No. 1                   892                           2                             0                             0                             0                             0                             0                             2                             139                           53                            11                            0                             0                             0                             203                           191                           106                           111                           0                             0                             0                             408                           0                             0                             0                             0                             0                             0                             0                             613                           
Lamar No. 2                   1625                          9                             1                             0                             0                             0                             0                             10                            462                           184                           30                            0                             0                             0                             676                           238                           121                           93                            0                             0                             0                             452                           0                             0                             0                             0                             0                             0                             0                             1138                          
LYDIA                         750                           4                             1                             0                             0                             0                             0                             5                             124                           34                            8                             0                             0                             0                             166                           167                           140                           19                            0                             0                             0                             326                           0                             0                             0                             0                             0                             0                             0                             497                           
MECHANICSVILLE                1858                          4                             3                             1                             0                             0                             0                             8                             289                           247                           36                            0                             0                             0                             572                           173                           409                           97                            0                             0                             0                             679                           1                             0                             0                             0                             0                             0                             1                             1260                          
NEW MARKET                    1097                          10                            2                             0                             0                             0                             0                             12                            439                           173                           14                            0                             0                             0                             626                           50                            54                            29                            0                             0                             0                             133                           1                             1                             1                             0                             0                             0                             3                             774                           
OATES                         1023                          10                            0                             0                             0                             0                             0                             10                            298                           145                           31                            0                             0                             0                             474                           135                           97                            39                            0                             0                             0                             271                           1                             0                             0                             0                             0                             0                             1                             756                           
PALMETTO                      2051                          11                            5                             0                             0                             0                             0                             16                            253                           327                           53                            0                             0                             0                             633                           212                           444                           124                           0                             0                             0                             780                           0                             0                             0                             0                             0                             0                             0                             1429                          
SOCIETY HILL                  816                           6                             1                             0                             0                             0                             0                             7                             129                           34                            22                            0                             0                             0                             185                           207                           112                           38                            0                             0                             0                             357                           1                             0                             0                             0                             0                             0                             1                             550                           
SWIFT CREEK                   994                           9                             5                             0                             0                             0                             0                             14                            257                           141                           22                            0                             0                             0                             420                           101                           116                           19                            0                             0                             0                             236                           0                             0                             0                             0                             0                             0                             0                             670                           
Darlington No. 3              2975                          9                             10                            4                             0                             0                             0                             23                            417                           733                           78                            0                             0                             0                             1228                          207                           567                           109                           0                             0                             0                             883                           3                             2                             0                             0                             0                             0                             5                             2139                          
Darlington No. 6              1811                          13                            8                             4                             0                             0                             0                             25                            269                           309                           43                            0                             0                             0                             621                           165                           297                           74                            0                             0                             0                             536                           0                             1                             0                             0                             0                             0                             1                             1183                          
Hartsville No. 9              1859                          14                            6                             1                             0                             0                             0                             21                            356                           268                           46                            0                             0                             0                             670                           187                           255                           85                            0                             0                             0                             527                           1                             0                             0                             0                             0                             0                             1                             1219                          
Failsafe                      0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Provisional                   0                             0                             0                             0                             0                             2                             0                             2                             0                             0                             0                             0                             20                            0                             20                            0                             0                             0                             0                             17                            0                             17                            0                             0                             0                             0                             0                             0                             0                             39                            
Failsafe Provisional          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             5                             5                             0                             0                             0                             0                             0                             2                             2                             0                             0                             0                             0                             0                             0                             0                             7                             
Totals:                       48034                         258                           112                           23                            0                             2                             0                             395                           8523                          6710                          1198                          0                             20                            5                             16456                         4904                          8180                          2460                          0                             17                            2                             15563                         16                            12                            4                             0                             0                             0                             32                            32446                         

                                                                                                                                                                                                                                                                                                                                            U.S.  House of Representatives, District  7 (Vote For 1)
                                                            REP Tom Rice                                                                                                                                                                                                      DEM Melissa Ward Watson                                                                                                                                                                                           Write-In                                                                                                                                                                                                          
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
ANTIOCH                       1851                          489                           237                           50                            0                             0                             0                             776                           164                           252                           68                            0                             0                             0                             484                           2                             1                             0                             0                             0                             0                             3                             1263                          
AUBURN                        729                           69                            22                            8                             0                             0                             0                             99                            155                           190                           31                            0                             0                             0                             376                           1                             0                             0                             0                             0                             0                             1                             476                           
BETHEL                        756                           167                           104                           21                            0                             0                             0                             292                           74                            124                           25                            0                             0                             0                             223                           0                             0                             0                             0                             0                             0                             0                             515                           
